a24noticias_means,canal26_means,filonewsok_means,canal9oficial_means,diario.ole_means,infobae_means,lanacioncom_means,pagina12_means,tv_publica_means,c5n_means,clarincom_means,todonoticias_means,eldestapeweb_means,cronicaweb_means,minutouno_means,a24noticias_amount,canal26_amount,filonewsok_amount,canal9oficial_amount,diario.ole_amount,infobae_amount,lanacioncom_amount,pagina12_amount,tv_publica_amount,c5n_amount,clarincom_amount,todonoticias_amount,eldestapeweb_amount,cronicaweb_amount,minutouno_amount,Target
5.0,1.0,3.0,0.0,0.0,3.0,3.0,3.0,0.0,6.0,3.0,9454.33,7.0,1.0,15061.33,2631.33,5107.0,0.0,2039.83,2244.0,0.0,8122.86,1151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017872585759584822
9.0,1.0,6.0,0.0,0.0,8.0,14.0,6.0,2.0,8.0,6.0,4.0,10.0,4.0,0.0,0.0,9114.12,8419.79,5895.5,80.0,1963.12,4518.0,11147.25,6338.3,1927.0,0.0,0.0,0.0,0.0,0.0,-0.01907836806574695
5.0,0.0,2.0,0.0,0.0,9.0,7.0,3.0,2.0,1.0,4.0,3.0,2.0,4.0,0.0,1922.89,7424.57,5372.67,54.0,753.0,4028.25,13429.67,1404.5,1740.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02004787552363859
3.0,9.0,2.0,0.0,0.0,3.0,5.0,1.0,6.0,1.0,12.0,14.0,2.0,11.0,1.0,0.0,0.0,15703.67,16436.8,8810.0,625.17,8483.0,9144.42,38678.57,1610.5,1949.27,287.0,0.0,0.0,0.0,-0.06290076335877859
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,39831.0,2089.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02215705441511892
1.0,1.0,2.0,0.0,1.0,2.0,5.0,0.0,2262.0,1684.0,6.0,3.0,3.0,3950.5,13393.8,0.0,0.0,0.0,9110.5,23463.0,8847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02165944685104972
0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,6.0,1.0,0.0,2.0,13597.0,9038.67,13550.0,0.0,638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0214577656675749
2.0,0.0,6.0,2.0,0.0,6.0,20.0,1.0,1.0,7.0,14.0,9.0,6.0,4.0,1805.0,0.0,14675.83,7412.95,3516.0,346.0,2888.71,5055.5,32634.67,6923.0,2671.0,0.0,0.0,0.0,0.0,0.0,-0.020536025060911935
2.0,1.0,7.0,2.0,0.0,7.0,22.0,1.0,1.0,7.0,16.0,9.0,6.0,4.0,9919.86,1805.0,0.0,12595.86,7239.91,3516.0,346.0,2888.71,4834.31,32634.67,6923.0,2671.0,0.0,0.0,0.0,0.0,-0.01954513148543002
1.0,1.0,3.0,0.0,0.0,8.0,9.0,4.0,3.0,2.0,11.0,2.0,1.0,3.0,1.0,0.0,0.0,4122.0,8048.56,5725.25,1211.0,1356.0,4372.64,34202.5,11896.0,2771.0,312.0,0.0,0.0,0.0,-0.0184849583182313
1.0,0.0,2.0,0.0,0.0,29.0,55.0,3.0,6.0,7.0,40.0,13.0,8.0,12.0,5.0,0.0,6766.86,7192.91,13287.33,164.83,1311.86,3596.25,21893.38,7209.0,875.67,632.2,0.0,0.0,0.0,0.0,-0.030280649926144636
0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,5255.0,17434.0,30775.0,1421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012185833968012197
0.0,0.0,1.0,0.0,0.0,7.0,17.0,1.0,2.0,1.0,11.0,2.0,2.0,1.0,2.0,6388.71,7287.41,13839.0,265.5,321.0,3305.55,20227.0,17465.0,1421.0,475.0,0.0,0.0,0.0,0.0,0.0,-0.009637625289128758
0.0,0.0,1.0,0.0,0.0,2.0,5.0,8394.0,1.0,0.0,6.0,4673.0,0.0,292.0,1.0,3267.17,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00661736084079415
1.0,0.0,0.0,0.0,0.0,12.0,29.0,1.0,1.0,3.0,21.0,7.0,5.0,6.0,2.0,7833.83,5771.83,18827.0,99.0,1825.67,3163.76,9445.71,3987.6,866.33,949.5,0.0,0.0,0.0,0.0,0.0,-0.003918495297805559
1.0,0.0,1.0,0.0,0.0,15.0,33.0,1.0,2.0,5.0,22.0,11.0,6.0,11.0,2.0,0.0,6832.87,6912.09,18827.0,101.5,1035.2,3163.5,22196.36,3790.33,826.09,949.5,0.0,0.0,0.0,0.0,-0.0007867820613691237
3.0,0.0,4.0,0.0,0.0,12.0,33.0,2.0,6.0,8.0,23.0,15.0,6.0,11.0,0.0,7454.42,9558.42,12994.0,319.17,1069.5,4644.04,21109.67,9202.67,1011.64,0.0,0.0,0.0,0.0,0.0,0.0,0.001968503937007902
0.0,0.0,2.0,0.0,0.0,7.0,18.0,2.0,3.0,4.0,9.0,8.0,4.0,7.0,6250.43,10385.0,12994.0,577.67,976.5,4763.22,26319.5,3686.75,1233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004322200392927286
2.0,0.0,3.0,0.0,0.0,3.0,12.0,1.0,4.0,3.0,9.0,6.0,3.0,3.0,0.0,13798.33,10793.08,7161.0,428.0,1126.67,6225.22,15189.17,15394.33,1685.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0066510172143975635
2.0,0.0,4.0,0.0,0.0,6.0,17.0,2.0,5.0,6.0,19.0,12.0,5.0,7.0,0.0,9327.67,7753.41,5364.5,263.6,2299.5,4350.89,17318.67,14294.4,2072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008550330353672711
0.0,0.0,2.0,0.0,0.0,4.0,6.0,1.0,1.0,3.0,9.0,5.0,3.0,4.0,5517.5,3781.5,4842.0,250.0,3472.33,3409.44,18367.2,2979.0,1334.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010019267822736091
9.0,4.0,11.0,1.0,0.0,15.0,22.0,8.0,4.0,9.0,5.0,7.0,4.0,45.0,9457.36,999.0,0.0,7638.93,4069.64,4933.12,762.25,4417.44,2972.2,37825.14,15326.75,1771.53,0.0,0.0,0.0,0.0,0.010682945440671407
7.0,2.0,9.0,0.0,0.0,17.0,17.0,8.0,3.0,12.0,9.0,6.0,5.0,39.0,1.0,0.0,0.0,6897.76,4408.82,5012.25,2035.0,3669.75,5393.78,37892.83,8816.0,1795.08,375.0,0.0,0.0,0.0,0.02038505096262751
0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,4.0,0.0,3.0,4.0,1.0,6520.0,4144.0,3419.0,6422.25,0.0,5208.33,1381.25,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011098779134295121
3.0,1.0,3.0,0.0,0.0,13.0,17.0,2.0,1.0,10.0,16.0,3.0,6.0,29.0,1.0,0.0,0.0,6033.85,5376.0,4636.0,4144.0,2122.5,4763.31,30122.0,7784.83,626.79,375.0,0.0,0.0,0.0,-0.0007317965605561498
15.0,3.0,22.0,0.0,0.0,12.0,20.0,15.0,3.0,8.0,16.0,8.0,4.0,44.0,1.0,0.0,0.0,4344.67,4956.35,6038.4,272.0,7603.0,3405.38,29077.62,5158.5,1611.18,588.0,0.0,0.0,0.0,-0.05053094104723541
