a24noticias_means,canal26_means,filonewsok_means,canal9oficial_means,diario.ole_means,infobae_means,lanacioncom_means,pagina12_means,tv_publica_means,c5n_means,clarincom_means,todonoticias_means,eldestapeweb_means,cronicaweb_means,minutouno_means,a24noticias_amount,canal26_amount,filonewsok_amount,canal9oficial_amount,diario.ole_amount,infobae_amount,lanacioncom_amount,pagina12_amount,tv_publica_amount,c5n_amount,clarincom_amount,todonoticias_amount,eldestapeweb_amount,cronicaweb_amount,minutouno_amount,Target
0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,2.0,3.0,3.0,0.0,8595.33,1.0,1.0,513.5,8997.0,3697.0,0.0,0.0,828.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013227513227512947
5.0,6.0,4.0,1.0,0.0,14.0,20.0,9.0,10.0,19.0,26.0,5.0,10.0,2.0,1.0,6937.0,52.0,0.0,5575.36,2721.75,8725.0,1125.5,4049.84,2266.35,22416.6,4663.2,796.5,743.0,0.0,0.0,-0.000662251655629125
5.0,6.0,5.0,1.0,0.0,13.0,23.0,9.0,6.0,15.0,25.0,7.0,9.0,3.0,1.0,9088.6,52.0,0.0,4110.92,2877.83,9066.89,1592.0,4518.6,2077.48,32493.0,7443.67,848.67,743.0,0.0,0.0,0.0
4.0,5.0,5.0,0.0,1.0,13.0,22.0,11.0,8.0,13.0,31.0,7.0,15.0,4.0,1.0,8025.2,0.0,21118.0,6081.23,3865.68,8699.0,1162.75,5653.38,2638.58,39302.43,10759.07,1273.25,743.0,0.0,0.0,0.0006626905235254995
2.0,4.0,3.0,0.0,0.0,7.0,9.0,5.0,4.0,5.0,10.0,2.0,5.0,1.0,0.0,0.0,5024.43,4222.22,9319.6,758.0,9199.0,3173.5,57684.0,11448.2,953.0,0.0,0.0,0.0,0.0,0.0,0.0016556291390728713
3.0,2.0,4.0,0.0,1.0,4.0,12.0,6.0,3.0,4.0,16.0,5.0,8.0,2.0,5607.75,0.0,21118.0,9764.0,4430.83,8166.83,754.67,8662.25,2982.31,31949.8,12672.88,1399.5,0.0,0.0,0.0,0.0,0.0023140495867768687
5.0,1.0,6.0,0.0,1.0,10.0,27.0,7.0,7.0,5.0,24.0,9.0,13.0,10.0,7634.33,0.0,21118.0,8393.4,4284.22,8623.57,1547.71,7928.8,2901.92,31889.78,10205.31,1942.1,0.0,0.0,0.0,0.0,0.0032981530343008385
4.0,0.0,4.0,0.0,0.0,4.0,12.0,2.0,4.0,3.0,9.0,4.0,4.0,6.0,0.0,11524.5,3885.58,9062.5,903.0,7113.67,3567.33,31814.75,6669.75,1295.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0036160420775805204
10.0,5.0,15.0,0.0,0.0,21.0,28.0,10.0,7.0,15.0,15.0,10.0,16.0,50.0,0.0,0.0,6657.48,3776.5,5690.1,1613.14,3303.4,2868.53,24472.9,5391.56,1689.34,0.0,0.0,0.0,0.0,0.0,0.004585653455617444
10.0,2.0,15.0,0.0,0.0,15.0,21.0,11.0,5.0,11.0,11.0,10.0,14.0,44.0,0.0,0.0,8716.33,3568.62,5373.0,882.2,3593.45,4634.45,24147.9,5886.79,1627.59,0.0,0.0,0.0,0.0,0.0,0.010433648516465494
0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,18469.0,0.0,3.0,1893.0,3.0,3.0,0.0,0.0,7905.33,0.0,5154.67,531.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012262020006453779
6.0,2.0,8.0,0.0,1.0,5.0,17.0,5.0,2.0,8.0,12.0,3.0,12.0,26.0,7115.5,0.0,50321.0,4157.6,3923.12,7772.4,492.5,6672.0,3287.5,9073.67,8507.33,487.15,0.0,0.0,0.0,0.0,0.006375518010838358
12.0,3.0,22.0,0.0,0.0,9.0,17.0,17.0,2.0,10.0,24.0,8.0,7.0,43.0,0.0,0.0,3210.11,5071.18,6702.47,239.0,10374.9,2403.83,19220.88,6579.0,1629.65,0.0,0.0,0.0,0.0,0.0,0.01900538485904344
