,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_epochs,param_optimizer__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
71,11.064300696055094,0.06802522363158978,0.6767616271972656,0.062385355796658576,71,0.058105263157894736,"{'epochs': 71, 'optimizer__learning_rate': 0.058105263157894736}",-1.9647020518216185,-1.996182842425285,-1.7128905584826757,-1.891258484243193,0.126778278237612,325
72,10.188529253005981,0.30678071121725614,0.6964015960693359,0.05899536219635425,71,0.0633421052631579,"{'epochs': 71, 'optimizer__learning_rate': 0.0633421052631579}",-1.769874047215555,-1.863221748740172,-1.5778141421190053,-1.7369699793582443,0.11881746151267657,311
73,10.648998260498047,0.05275154797810209,0.6823294957478842,0.05367875601227115,71,0.06857894736842104,"{'epochs': 71, 'optimizer__learning_rate': 0.06857894736842104}",-1.7751345348552712,-2.3210330599492646,-1.8002341691431751,-1.965467254649237,0.25163171413044566,339
74,10.866364081700643,0.2949782649743151,0.6928643385569254,0.023594969120989375,71,0.07381578947368421,"{'epochs': 71, 'optimizer__learning_rate': 0.07381578947368421}",-1.6484891754871351,-2.0502512935761787,-1.822793585418507,-1.8405113514939402,0.16449648285779342,323
75,11.060775200525919,0.07718808120256657,0.7057316303253174,0.04890435290011344,71,0.07905263157894737,"{'epochs': 71, 'optimizer__learning_rate': 0.07905263157894737}",-2.1221066160428945,-1.8369615970185873,-2.0128018747081264,-1.9906233625898693,0.11746158313374318,342
76,10.93019413948059,0.13998630868934675,0.6571383476257324,0.028086554334285207,71,0.08428947368421053,"{'epochs': 71, 'optimizer__learning_rate': 0.08428947368421053}",-1.9923224946235751,-1.8112436758291346,-1.607017434301465,-1.8035278682513916,0.157394721729349,319
77,10.512808084487915,0.3269568663439798,0.6941465536753336,0.056918771517431195,71,0.08952631578947368,"{'epochs': 71, 'optimizer__learning_rate': 0.08952631578947368}",-1.7562175221728105,-2.0027229557967146,-2.0445723644785883,-1.9345042808160378,0.12722020144192747,330
78,10.651137510935465,0.07293642774710968,0.7839975357055664,0.09092861602048949,71,0.09476315789473684,"{'epochs': 71, 'optimizer__learning_rate': 0.09476315789473684}",-1.9504694321118314,-2.010551098241161,-1.916209453897698,-1.9590766614168966,0.0389927323278719,335
79,10.901146094004313,0.015142589372995854,0.6733938852945963,0.038790266943339306,71,0.1,"{'epochs': 71, 'optimizer__learning_rate': 0.1}",-1.93095499498293,-1.7937087417900983,-1.6476584234552174,-1.7907740534094152,0.11567395603378172,316
80,14.06449063618978,0.24622616462335786,0.8159083525339762,0.12928246382505204,92,0.0005,"{'epochs': 92, 'optimizer__learning_rate': 0.0005}",-1.6540612631003928,-1.7996804150703265,-1.741359669198419,-1.7317004491230463,0.059839840432379866,310
81,13.966345389684042,0.10603000759849915,0.6520313421885172,0.04665895097660541,92,0.005736842105263158,"{'epochs': 92, 'optimizer__learning_rate': 0.005736842105263158}",-1.6257030610701224,-1.5953654976837695,-1.5646533664403515,-1.5952406417314144,0.024923589834448003,288
82,13.705447673797607,0.49236005750653483,0.7029748757680258,0.0580908247663825,92,0.010973684210526316,"{'epochs': 92, 'optimizer__learning_rate': 0.010973684210526316}",-1.87360946759636,-1.7995439165117506,-1.753568661820999,-1.8089073486430365,0.04945168793045986,320
83,13.008280277252197,0.32289447609673594,0.796065886815389,0.1085093818354215,92,0.016210526315789474,"{'epochs': 92, 'optimizer__learning_rate': 0.016210526315789474}",-1.6925394114861798,-1.6775355486061774,-1.7953510290600985,-1.7218086630508187,0.052361809709065926,309
84,13.248498916625977,0.03823696513903341,0.7004197438557943,0.07664476881145148,92,0.02144736842105263,"{'epochs': 92, 'optimizer__learning_rate': 0.02144736842105263}",-1.8834318090233473,-1.847788096330865,-2.018568991233531,-1.916596298862581,0.0735592326208901,329
85,14.09247080485026,0.42465516270702397,0.6814788977305094,0.05114327677684447,92,0.02668421052631579,"{'epochs': 92, 'optimizer__learning_rate': 0.02668421052631579}",-1.7920598407809023,-1.6484651643214232,-1.6708818742154237,-1.7038022931059167,0.06307494622441757,306
86,13.528137683868408,0.11391154569777882,0.7215787569681803,0.08192830374153552,92,0.03192105263157895,"{'epochs': 92, 'optimizer__learning_rate': 0.03192105263157895}",-1.4783633363709239,-1.7309688773833583,-1.6251685085908125,-1.611500240781698,0.1035776874177781,296
87,13.639196713765463,0.18002887318226835,0.7125455538431803,0.05220296906055862,92,0.037157894736842105,"{'epochs': 92, 'optimizer__learning_rate': 0.037157894736842105}",-1.5531864322094688,-1.6774129393027277,-1.3754475468204186,-1.5353489727775385,0.12392042011841867,274
88,13.091090202331543,0.0717250322367707,0.7628024419148763,0.08554399409179889,92,0.04239473684210526,"{'epochs': 92, 'optimizer__learning_rate': 0.04239473684210526}",-1.6360516036269115,-1.8658949695339782,-1.5057517353152907,-1.6692327694920601,0.14888816746023834,302
89,13.295443534851074,0.1739531615993883,0.7312843004862467,0.03488456152334309,92,0.04763157894736842,"{'epochs': 92, 'optimizer__learning_rate': 0.04763157894736842}",-1.575700871139283,-1.7046061795477723,-1.9639242559827461,-1.7480771022232673,0.16144480991662558,313
90,13.66098666191101,0.23566711302069096,0.66249680519104,0.05808094545591702,92,0.05286842105263158,"{'epochs': 92, 'optimizer__learning_rate': 0.05286842105263158}",-1.5406002181922305,-1.6994698844818141,-1.496884303025317,-1.578984801899787,0.08704505214090225,285
91,13.497724056243896,0.1842565991072808,0.6258490880330404,0.03067174716249452,92,0.058105263157894736,"{'epochs': 92, 'optimizer__learning_rate': 0.058105263157894736}",-1.451459779542877,-1.7668491985192278,-1.4458419103653093,-1.554716962809138,0.15001767492320117,283
92,12.827443917592367,0.11647979455788506,0.6590301990509033,0.03509689845695499,92,0.0633421052631579,"{'epochs': 92, 'optimizer__learning_rate': 0.0633421052631579}",-1.9704186528082883,-1.8435182650172444,-2.0638556632978484,-1.959264193707794,0.09029750361493884,336
93,12.422303279240927,0.5310096546044211,0.6313134034474691,0.04017205354734137,92,0.06857894736842104,"{'epochs': 92, 'optimizer__learning_rate': 0.06857894736842104}",-1.5962474715285324,-2.1344624632234552,-1.5938554162423668,-1.7748551169981184,0.25428266827364265,315
94,11.88732639948527,0.2710805166307997,0.6605650583902994,0.0774259774232401,92,0.07381578947368421,"{'epochs': 92, 'optimizer__learning_rate': 0.07381578947368421}",-1.4266366617959378,-2.081131181816447,-1.8706961292751796,-1.7928213242958548,0.2728114527436425,317
95,12.557119369506836,0.6282852342099302,0.5720775127410889,0.046880878765588774,92,0.07905263157894737,"{'epochs': 92, 'optimizer__learning_rate': 0.07905263157894737}",-1.5962497622073588,-1.5430673265693953,-1.5016923387945806,-1.5470031425237785,0.03870309691343347,280
96,11.722100575764975,0.17546991070617712,0.590445359547933,0.05258599578542895,92,0.08428947368421053,"{'epochs': 92, 'optimizer__learning_rate': 0.08428947368421053}",-2.083327617684554,-2.1317891821092667,-1.7201095184025426,-1.9784087727321211,0.18371356218678186,341
97,11.650158723195394,0.08187984318966697,0.5635921160380045,0.02999973258486325,92,0.08952631578947368,"{'epochs': 92, 'optimizer__learning_rate': 0.08952631578947368}",-1.68067486037734,-1.6380139480872582,-1.495133765519967,-1.6046075246615217,0.0793446755818892,293
98,11.646219650904337,0.11379001975558674,0.6286193529764811,0.08111527824255384,92,0.09476315789473684,"{'epochs': 92, 'optimizer__learning_rate': 0.09476315789473684}",-1.6990711518876815,-1.6289426848085409,-1.4866005564506408,-1.6048714643822877,0.08839497052415599,294
99,12.115336974461874,0.1550112829163868,0.7086769739786783,0.06448418634548914,92,0.1,"{'epochs': 92, 'optimizer__learning_rate': 0.1}",-1.6221678906703532,-1.6310789333836173,-1.5239326400460311,-1.5923931547000005,0.04854539607813271,287
100,17.720346689224243,3.765139101410848,0.5901836554209391,0.06621905043578799,112,0.0005,"{'epochs': 112, 'optimizer__learning_rate': 0.0005}",-1.4555454995653443,-1.5908139612186312,-1.5417329789310448,-1.5293641465716732,0.05591141916736008,271
101,14.13380217552185,0.3417972647012318,1.0202556451161702,0.3493236768650741,112,0.005736842105263158,"{'epochs': 112, 'optimizer__learning_rate': 0.005736842105263158}",-1.4384124448542586,-1.7977293193403838,-1.5534515006238894,-1.5965310882728438,0.14981998581992198,289
102,12.676545222600302,0.04049502252054275,1.7159687678019206,0.24662456027244287,112,0.010973684210526316,"{'epochs': 112, 'optimizer__learning_rate': 0.010973684210526316}",-1.3061852867624297,-1.6844348294579086,-1.542966566958611,-1.51119556105965,0.15604534971007325,265
103,13.009984016418457,0.4752479463595243,1.2600207328796387,0.547621676292429,112,0.016210526315789474,"{'epochs': 112, 'optimizer__learning_rate': 0.016210526315789474}",-1.4656959520316444,-2.168682582334789,-1.5055954329999088,-1.7133246557887807,0.3223984316510592,308
104,13.448690017064413,0.27005695483096187,0.9654021263122559,0.5313900354066975,112,0.02144736842105263,"{'epochs': 112, 'optimizer__learning_rate': 0.02144736842105263}",-1.3700175780676058,-1.7501575260537543,-1.69112843183229,-1.6037678453178834,0.1670339268349073,292
105,13.982860962549845,0.26763766149271084,0.6795599460601807,0.08016777724538361,112,0.02668421052631579,"{'epochs': 112, 'optimizer__learning_rate': 0.02668421052631579}",-1.5075085114793805,-1.535640595005195,-1.4531173079878843,-1.49875547149082,0.03425380764057592,262
106,13.969239155451456,0.09384930379021528,0.5809888044993082,0.05432620773207491,112,0.03192105263157895,"{'epochs': 112, 'optimizer__learning_rate': 0.03192105263157895}",-1.6901664662486655,-2.090877641623559,-1.4503526796331039,-1.7437989291684428,0.2642289254192905,312
107,14.022188266118368,0.1708392178943169,0.5880515575408936,0.037242094186937726,112,0.037157894736842105,"{'epochs': 112, 'optimizer__learning_rate': 0.037157894736842105}",-1.6298835696118128,-1.5270154908036908,-1.4150218140179898,-1.5239736248111644,0.08774331205568624,269
108,13.643225908279419,0.13589289853700903,0.5774922370910645,0.05420154262094054,112,0.04239473684210526,"{'epochs': 112, 'optimizer__learning_rate': 0.04239473684210526}",-1.5589187121996322,-1.8618425075366916,-1.4651433016327113,-1.628634840456345,0.1692883514314003,297
109,13.915815432866415,0.2371179462998644,0.5974172751108805,0.010695177007982556,112,0.04763157894736842,"{'epochs': 112, 'optimizer__learning_rate': 0.04763157894736842}",-1.8075144132783638,-1.5547534443371664,-1.5366073426686122,-1.6329584000947142,0.12365185415881487,298
110,13.702776670455933,0.34772368534165266,0.634809414545695,0.09985232603612325,112,0.05286842105263158,"{'epochs': 112, 'optimizer__learning_rate': 0.05286842105263158}",-1.233933894609899,-1.6587032716105938,-1.582210598935139,-1.4916159217185438,0.18486536103224582,261
111,16.86277190844218,4.381808109715838,0.5905733108520508,0.09430762750343709,112,0.058105263157894736,"{'epochs': 112, 'optimizer__learning_rate': 0.058105263157894736}",-1.33948454561565,-1.2809733251068087,-1.799774782689076,-1.4734108844705116,0.2320070922431348,254
112,13.448383092880249,0.17866576281385296,0.4864988327026367,0.008636155511962455,112,0.0633421052631579,"{'epochs': 112, 'optimizer__learning_rate': 0.0633421052631579}",-1.4335270552020845,-1.5970803529865623,-1.567837080896926,-1.532814829695191,0.07121488076459205,273
113,12.891828378041586,0.26041031129462916,0.5422126452128092,0.02413453475893906,112,0.06857894736842104,"{'epochs': 112, 'optimizer__learning_rate': 0.06857894736842104}",-1.3099207978290417,-1.4645238828813147,-2.050909032909854,-1.6084512378734033,0.3191678803475357,295
114,13.794556140899658,0.6310582417282065,0.8995898564656576,0.1396542304185149,112,0.07381578947368421,"{'epochs': 112, 'optimizer__learning_rate': 0.07381578947368421}",-1.610099729829734,-1.7485887032474234,-1.5507667270065753,-1.636485053361244,0.08288756458542913,299
115,14.775843699773153,0.5341688605023778,0.7890957991282145,0.1206168788029405,112,0.07905263157894737,"{'epochs': 112, 'optimizer__learning_rate': 0.07905263157894737}",-1.5034911751125066,-1.740554339349946,-1.5556616676132555,-1.5999023940252364,0.1017109216182857,291
116,16.136837323506672,0.5082562808332454,0.7104760805765787,0.06124815399103307,112,0.08428947368421053,"{'epochs': 112, 'optimizer__learning_rate': 0.08428947368421053}",-1.632248819669094,-1.695133999959685,-1.6281016744929098,-1.6518281647072295,0.030668618363213943,301
117,15.757535854975382,0.22384810606546268,0.6962523460388184,0.05503409617530316,112,0.08952631578947368,"{'epochs': 112, 'optimizer__learning_rate': 0.08952631578947368}",-2.0401409694358383,-1.6302045936229976,-1.449053554639017,-1.706466372565951,0.24726231304487856,307
